Fecha,Imagen,Calidad,Defectos,Porcentaje Defectos
2025-03-08 12:34:00,naranja_20250308_123400.jpg,Excelente,Ninguno,0.0
2025-03-08 12:34:38,naranja_20250308_123438.jpg,Excelente,Ninguno,0.0
2025-03-08 12:39:56,naranja_20250308_123956.jpg,Excelente,negro,0.4
2025-03-08 12:40:07,naranja_20250308_124007.jpg,Excelente,negro,0.9
2025-03-08 12:40:23,naranja_20250308_124023.jpg,Excelente,Ninguno,0.0
2025-03-08 12:41:02,naranja_20250308_124102.jpg,Excelente,negro,0.6
2025-03-08 12:41:19,naranja_20250308_124119.jpg,Excelente,Ninguno,0.0
2025-03-08 12:41:28,naranja_20250308_124128.jpg,Excelente,Ninguno,0.0
2025-03-08 12:42:38,naranja_20250308_124238.jpg,Excelente,Ninguno,0.0
2025-03-14 21:49:18,naranja_20250314_214918.jpg,No analizada,Ninguno,0.0
2025-03-14 21:49:57,naranja_20250314_214957.jpg,No analizada,Ninguno,0.0
2025-03-14 22:11:32,naranja_20250314_221132.jpg,Excelente,Ninguno,0.0
2025-03-14 22:11:42,naranja_20250314_221142.jpg,Excelente,Ninguno,0.0
2025-03-14 22:11:49,naranja_20250314_221149.jpg,Excelente,Ninguno,0.0
2025-03-14 22:12:55,naranja_20250314_221255.jpg,Aceptable,negro,3.5
2025-03-14 22:13:11,naranja_20250314_221311.jpg,Aceptable,negro,3.8
2025-03-14 22:13:36,naranja_20250314_221336.jpg,Excelente,Ninguno,0.0
2025-03-14 22:13:42,naranja_20250314_221342.jpg,Excelente,Ninguno,0.0
2025-03-14 22:13:54,naranja_20250314_221354.jpg,Excelente,Ninguno,0.0
2025-03-14 22:14:08,naranja_20250314_221408.jpg,Excelente,Ninguno,0.0
2025-03-14 22:14:17,naranja_20250314_221417.jpg,Excelente,Ninguno,0.0
2025-03-14 22:14:27,naranja_20250314_221427.jpg,Excelente,Ninguno,0.0
2025-03-14 22:14:47,naranja_20250314_221447.jpg,Excelente,Ninguno,0.0
2025-03-14 22:15:15,naranja_20250314_221515.jpg,Aceptable,negro,3.2
2025-03-14 22:15:47,naranja_20250314_221546.jpg,Aceptable,negro,2.4
2025-03-14 22:16:02,naranja_20250314_221602.jpg,Excelente,negro,1.0
2025-03-14 22:16:22,naranja_20250314_221622.jpg,Excelente,Ninguno,0.0
2025-03-14 22:16:27,naranja_20250314_221627.jpg,Excelente,negro,0.7
